Sample	Polarity	Peak ID	Lipid name	RT (min)	Precursor m/z	Height	Area	Adduct	Formula	Ontology	InChIKey	Annotation tag	m/z matched	MS/MS matched	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N
VZ0000099_PL_Pos	POS	8949	SM 70:5;O2|SM 44:3;O2/26:2	13.821	839.69958	5964942	37327527	[M+H]+	C49H95N2O6P	SM	OCCAHYYDGGIVEM-VRFBDAIJNA-N	410	True	True	0.875	0.923	0.684	2.00	2.00	2.464	55.90
VZ0000099_PL_Pos	POS	8960	PC O-70:10	13.828	876.68384	2959021	19681268	[M+H]+	C52H94NO7P	EtherPC	LSZCKBKNUKLYTR-BVQSZGPLNA-N	420	True	True	0.859	0.790	0.922	3.00	1.00	1.891	111.86
VZ0000099_PL_Pos	POS	8966	PE O-58:6	13.840	756.58929	1414654	6404153	[M+H]+	C43H82NO7P	EtherPE	ISTKKMUAKPNLKS-JTBMWNAQNA-N	420	True	True	0.151	0.223	0.936	4.00	1.00	1.622	43.51
VZ0000099_PL_Pos	POS	8998	SM 66:2;O2|SM 42:2;O2/24:0	13.862	813.68408	349201060	1774210966	[M+H]+	C47H93N2O6P	SM	NNJDQABSYHSWLL-MFZOHDJKNA-N	410	True	True	0.869	0.920	0.688	2.00	2.00	2.464	5181.44
VZ0000099_PL_Pos	POS	9052	PC O-68:8	13.886	852.68365	5565217	29261563	[M+H]+	C50H94NO7P	EtherPC	JQXGMIGHIOGWBD-SHJNOZFHNA-N	420	True	True	0.945	0.903	0.913	2.00	1.00	1.929	431.82
VZ0000099_PL_Pos	POS	9061	PC O-66:5	13.910	826.66876	3056136	20061779	[M+H]+	C48H92NO7P	EtherPC	YBGZIEVSUWOJDE-LVPVIALKNA-N	420	True	True	0.953	0.919	0.912	2.00	1.00	1.935	95.59
VZ0000099_PL_Pos	POS	9072	DAG 36:2; DAG 18:1-18:1; [M+NH4]+	13.928	638.57184	4936886	24944623	[M+NH4]+	C39H72O5	DAG	AFSHUZFNMVJNKX-CLFAGFIQNA-N	430	True	True	0.746	0.899	0.912	3.00	0.75	1.725	389.47
VZ0000099_PL_Pos	POS	9097	PC O-68:5	13.940	864.68335	1330920	5698132	[M+H]+	C51H94NO7P	EtherPC	TXURDVSJPHNEFP-YVVGVNEPNA-N	420	True	True	0.932	0.922	0.914	2.00	1.00	1.930	49.44
VZ0000099_PL_Pos	POS	9112	SM 67:3;O2|SM 43:2;O2/24:1	13.951	827.70007	52949672	244903678	[M+H]+	C48H95N2O6P	SM	IJAYJXRHIVTBSC-CQKYAMJZNA-N	410	True	True	0.934	0.844	0.854	3.00	2.00	2.532	1493.10
VZ0000099_PL_Pos	POS	9132	SM 68:2;O2	13.984	801.68445	33684575	147181882	[M+H]+	C46H93N2O6P	SM	HQOWDNLXOWJPJP-IZHYLOQSNA-N	420	True	True	0.860	0.918	0.691	2.00	1.00	1.820	1021.76
VZ0000099_PL_Pos	POS	9138	PC O-70:9	13.984	878.69910	2501303	10944981	[M+H]+	C52H96NO7P	EtherPC	SXKPWBFXUDGUKA-BFAPQNTNNA-N	420	True	True	0.939	0.918	0.913	2.00	1.00	1.931	62.88
VZ0000099_PL_Pos	POS	9143	Cer 60:1;O2|Cer 38:1;O2/22:0	13.994	594.58191	1305130	6269470	[M+H]+	C38H75NO3	Cer_NS	RIGQYOKCOHPLTC-QOSDPKFLNA-N	410	True	True	0.642	0.685	0.914	6.00	2.00	2.462	173.94
VZ0000099_PL_Pos	POS	9144	SM 70:2;O2	13.994	815.70007	35612051	167374097	[M+H]+	C47H95N2O6P	SM	UUXKDFWLLTYNNT-IZHYLOQSNA-N	420	True	True	0.859	0.914	0.686	2.00	1.00	1.817	507.96
VZ0000099_PL_Pos	POS	9149	PC 40:2	13.994	842.66229	1681250	9289023	[M+H]+	C48H92NO8P	PC	AEUCYCQYAUFAKH-YEUCEMRANA-N	420	True	True	0.914	0.914	0.868	2.00	1.00	1.905	24.57
VZ0000099_PL_Pos	POS	9156	SM 66:0;O2	14.021	789.68439	21088400	98059991	[M+H]+	C45H93N2O6P	SM	JRQFYSUBVSFFTH-UHFFFAOYNA-N	420	True	True	0.855	0.914	0.680	1.00	1.00	1.814	581.72
VZ0000099_PL_Pos	POS	9184	HexCer-NS d40:1; HexCer-NS d18:1/22:0; [M+H]+	14.052	784.66602	7125098	32539495	[M+H]+	C46H89NO8	GlcCer_NS	YIGARKIIFOHVPF-LAPDZXRHNA-N	430	True	True	0.790	0.806	0.911	6.00	0.75	1.714	179.97
VZ0000099_PL_Pos	POS	9187	HexCer-NS d42:4; HexCer-NS d14:3/28:1; [M+H]+	14.052	806.64789	3130084	13338212	[M+H]+	C48H87NO8	GlcCer_NS	UBFLDGPCWIKTQH-QTWZTQJMNA-N	430	True	True	0.182	0.997	0.311	3.00	0.38	1.118	115.62
VZ0000099_PL_Pos	POS	9206	SM 72:3;O2	14.074	827.70001	13612403	61225381	[M+H]+	C48H95N2O6P	SM	BXCQDHNIILIQKT-OCVNVDQCNA-N	420	True	True	0.875	0.920	0.687	2.00	1.00	1.822	323.86
VZ0000099_PL_Pos	POS	9208	PC O-72:11	14.074	902.69958	5912939	29012653	[M+H]+	C54H96NO7P	EtherPC	HDMMFDZIQICGJN-UKKLTMKYNA-N	420	True	True	0.950	0.918	0.914	2.00	1.00	1.935	180.29
VZ0000099_PL_Pos	POS	9241	SM 64:1;O2|SM 41:1;O2/23:0	14.111	801.68408	388075504	1737910128	[M+H]+	C46H93N2O6P	SM	SXZWBNWTCVLZJN-NHFVQZBWNA-N	410	True	True	0.871	0.920	0.690	2.00	2.00	2.465	11885.41
VZ0000099_PL_Pos	POS	9293	HexCer-NS d42:2; HexCer-NS d18:2/24:0; [M+H]+	14.154	810.68146	1583541	7052042	[M+H]+	C48H91NO8	GlcCer_NS	RVHBZEQSKCGIES-GHQHJQBONA-N	430	True	True	0.701	0.708	0.908	6.00	0.75	1.672	25.25
VZ0000099_PL_Pos	POS	9302	PC O-58:0	14.175	776.65259	1457171	6296934	[M+H]+	C44H90NO7P	EtherPC	KRRFXAFWBWXGHS-UHFFFAOYNA-N	420	True	True	0.783	0.842	0.916	2.00	1.00	1.883	23.99
VZ0000099_PL_Pos	POS	9318	SM 72:3;O2	14.208	827.70026	7590011	38752167	[M+H]+	C48H95N2O6P	SM	BXCQDHNIILIQKT-OCVNVDQCNA-N	420	True	True	0.829	0.797	0.673	1.00	1.00	1.780	223.70
VZ0000099_PL_Pos	POS	9329	PC O-62:2	14.231	802.66833	1894273	13090626	[M+H]+	C46H92NO7P	EtherPC	RNMVEEHWZGSALB-FCQUAONHNA-N	420	True	True	0.815	0.874	0.673	1.00	1.00	1.793	77.23
VZ0000099_PL_Pos	POS	9331	PC O-70:9	14.240	878.69904	80419291	357241897	[M+H]+	C52H96NO7P	EtherPC	SXKPWBFXUDGUKA-BFAPQNTNNA-N	420	True	True	0.955	0.918	0.920	3.00	1.00	1.937	8337.51
VZ0000099_PL_Pos	POS	9346	PC O-72:8	14.261	904.71527	4543402	28974115	[M+H]+	C54H98NO7P	EtherPC	RBBISNUCSYFGAP-OEXNDLMKNA-N	420	True	True	0.946	0.920	0.912	2.00	1.00	1.933	295.29
VZ0000099_PL_Pos	POS	9350	PC O-68:8	14.273	852.68359	21092667	93144933	[M+H]+	C50H94NO7P	EtherPC	JQXGMIGHIOGWBD-SHJNOZFHNA-N	420	True	True	0.957	0.924	0.923	3.00	1.00	1.941	1772.09
VZ0000099_PL_Pos	POS	9386	SM 68:0;O2	14.333	803.70007	5136405	24517667	[M+H]+	C46H95N2O6P	SM	SHGMMFOWDHTTNK-UHFFFAOYNA-N	420	True	True	0.849	0.907	0.678	1.00	1.00	1.810	108.27
