Sample	Polarity	Total features	m/z matched	MS/MS matched	m/z + MS/MS matched	m/z match %	MS/MS match %
VZ0000099_PL_Pos	POS	13032	2499	472	472	19.18	3.62
VZ0000099_PL_Neg	NEG	16036	3254	248	248	20.29	1.55
