Lipid class	MS/MS-supported annotations
TAG	131
EtherPC	106
PC	100
SM	73
LPC	19
ACar	15
GlcCer_NS	6
CE	6
EtherPE	5
Cer_NS	5
DAG	4
MAG	1
PE	1
